DEPCOM;REG;DEP;DEPARR;DEPPCT;LIBMIN;RGP2012;RGP2007;RGP1999
77264;11;77;773;7727;Lumigny-Nesles-Ormeaux;1534;1510;1319
77265;11;77;771;7712;Luzancy;1075;981;809
77266;11;77;772;7705;Machault;755;694;634
77267;11;77;774;7704;La Madeleine-sur-Loing;338;365;354
77268;11;77;775;7743;Magny-le-Hongre;7148;5158;1791
77269;11;77;772;7718;Maincy;1712;1728;1706
77270;11;77;771;7707;Maisoncelles-en-Brie;859;816;683
77271;11;77;774;7704;Maisoncelles-en-G‰tinais;131;133;112
77272;11;77;773;7723;Maison-Rouge;892;795;693
77273;11;77;771;7709;March?moret;552;554;332
77274;11;77;771;7715;Marcilly;454;397;353
77275;11;77;773;7729;Les Marêts;153;152;135
77276;11;77;771;7731;Mareuil-lès-Meaux;2384;1947;1579
77277;11;77;773;7727;Marles-en-Brie;1462;1417;1294
77278;11;77;773;7711;Marolles-en-Brie;393;430;355
77279;11;77;773;7720;Marolles-sur-Seine;1618;1563;1357
77280;11;77;771;7715;Mary-sur-Marne;1210;1171;1160
77281;11;77;771;7707;Mauperthuis;499;474;429
77282;11;77;771;7709;Mauregard;332;249;237
77283;11;77;771;7715;May-en-Multien;901;842;797
77284;11;77;771;7798;Meaux;53623;48466;49421
77285;11;77;772;7742;Le M?e-sur-Seine;20577;20844;21217
77286;11;77;773;7710;Meigneux;243;212;174
77287;11;77;773;7711;Meilleray;513;479;398
77288;11;77;772;7799;Melun;40503;37835;35695
77289;11;77;773;7729;Melz-sur-Seine;367;375;339
77290;11;77;771;7712;M?ry-sur-Marne;636;594;483
77291;11;77;771;7709;Le Mesnil-Amelot;852;872;565
77292;11;77;771;7737;Messy;1105;1081;896
77293;11;77;773;7720;Misy-sur-Yonne;986;934;749
77294;11;77;771;7737;Mitry-Mory;19147;18348;16869
77295;11;77;772;7705;Moisenay;1269;1124;1161
77296;11;77;772;7741;Moissy-Cramayel;17452;16932;14298
77297;11;77;774;7704;Mondreville;363;354;354
77298;11;77;773;7710;Mons-en-Montois;480;442;390
77299;11;77;774;7721;Montarlot;234;205;227
77300;11;77;771;7731;Montceaux-lès-Meaux;605;618;574
77301;11;77;773;7729;Montceaux-lès-Provins;338;335;337
77302;11;77;774;7724;Montcourt-Fromonville;2057;2123;2231
77303;11;77;773;7726;Montdauphin;235;214;184
77304;11;77;773;7726;Montenils;32;38;40
77305;11;77;773;7720;Montereau-Fault-Yonne;16682;16802;17625
77306;11;77;772;7718;Montereau-sur-le-Jard;549;583;567
77307;11;77;775;7743;Mont?vrain;9225;5509;3149
77308;11;77;771;7709;Montg?-en-Go‘le;695;695;633
77309;11;77;771;7709;Monthyon;1652;1629;1337
77310;11;77;773;7701;Montigny-le-Guesdier;299;282;285
77311;11;77;773;7710;Montigny-Lencoup;1284;1255;1225
77312;11;77;774;7721;Montigny-sur-Loing;2766;2749;2796
77313;11;77;774;7716;Montmachoux;235;231;220
77314;11;77;773;7711;Montolivet;242;253;203
77315;11;77;771;7708;Montry;3398;3237;3066
77316;11;77;774;7721;Moret-sur-Loing;4305;4472;4402
77317;11;77;772;7722;Mormant;4503;4292;4362
77318;11;77;773;7727;Mortcerf;1450;1440;1307
77319;11;77;773;7725;Mortery;164;171;153
77320;11;77;771;7707;Mouroux;5104;4671;4201
77321;11;77;773;7701;Mousseaux-lès-Bray;723;660;617
77322;11;77;771;7709;Moussy-le-Neuf;2927;2572;2387
77323;11;77;771;7709;Moussy-le-Vieux;984;1085;1008
77325;11;77;773;7701;Mouy-sur-Seine;362;373;381
77326;11;77;772;7734;Nandy;5888;5903;6159
77327;11;77;773;7723;Nangis;8351;7560;7479
77328;11;77;774;7703;Nanteau-sur-Essonne;442;426;394
77329;11;77;774;7724;Nanteau-sur-Lunain;691;677;485
77330;11;77;771;7731;Nanteuil-lès-Meaux;5475;5316;5009
77331;11;77;771;7712;Nanteuil-sur-Marne;481;456;458
77332;11;77;771;7737;Nantouillet;273;271;264
77333;11;77;774;7724;Nemours;12770;12813;12898
77335;11;77;771;7717;Chauconin-Neufmontiers;2833;2560;1494
77336;11;77;773;7727;Neufmoutiers-en-Brie;946;992;854
77337;11;77;775;7739;Noisiel;15625;15429;15502
77338;11;77;774;7716;Noisy-Rudignon;606;571;460
77339;11;77;774;7703;Noisy-sur-ƒcole;1965;1895;1823
77340;11;77;774;7724;Nonville;605;617;558
77341;11;77;773;7701;Noyen-sur-Seine;363;364;318
77342;11;77;774;7704;Obsonville;97;101;89
77343;11;77;771;7715;Ocquerre;442;378;307
77344;11;77;771;7709;Oissery;2124;2144;1546
77345;11;77;773;7726;Orly-sur-Morin;672;639;561
77347;11;77;773;7701;Les Ormes-sur-Voulzie;846;850;823
77348;11;77;774;7724;Ormesson;292;252;238
77349;11;77;771;7709;Othis;6459;6501;6479
77350;11;77;775;7733;Ozoir-la-Ferrière;20074;20202;20707
77352;11;77;772;7728;Ozouer-le-Voulgis;1826;1685;1544
77353;11;77;774;7716;Paley;444;430;411
77354;11;77;772;7705;Pamfou;937;926;836
77355;11;77;773;7710;Paroy;180;172;193
77356;11;77;773;7701;Passy-sur-Seine;49;40;34
77357;11;77;773;7723;P?cy;830;821;677
77358;11;77;771;7717;Penchard;1070;1025;799
77359;11;77;772;7732;Perthes;2134;2088;1896
77360;11;77;773;7727;P?zarches;404;355;267
77361;11;77;771;7712;Pierre-Lev?e;480;437;354
77363;11;77;775;7706;Le Pin;1325;1209;1069
77364;11;77;771;7737;Le Plessis-aux-Bois;249;248;172
77365;11;77;773;7727;Le Plessis-Feu-Aussoux;544;522;374
77366;11;77;771;7709;Le Plessis-l'ƒvêque;258;238;234
77367;11;77;771;7715;Le Plessis-Placy;276;264;262
77368;11;77;773;7725;Poigny;493;438;408
77369;11;77;771;7717;Poincy;701;706;694
77370;11;77;774;7724;Poligny;825;813;813
77371;11;77;771;7707;Pommeuse;2835;2674;2476
77372;11;77;775;7714;Pomponne;3579;3336;3256
