IRIS2;N_logements;COM;REG;DEP;ARR;COMA;Nb_resid_princ;Nobre_RS;Nombre_log_occasionnels;NBr_loge_vacants;RP_Proprio;RPLogemnts_locatifs_vide_NonHLM;RPMeubl_chambre_hotels;RP_residPrincipLocPriv
774870104;770;77487;11;77;772;77487;753;1;7;9;643;35;0;35
774890000;81;77489;11;77;774;77489;43;31;1;6;35;3;0;3
774900000;269;77490;11;77;771;77490;215;35;2;17;168;26;1;27
774910000;2242;77491;11;77;774;77491;1932;168;11;131;1288;427;25;452
774920000;345;77492;11;77;771;77492;249;76;1;19;194;41;0;41
774930000;1035;77493;11;77;772;77493;1003;11;3;18;637;94;5;99
774940000;922;77494;11;77;774;77494;809;77;5;31;673;99;9;108
774950101;1090;77495;11;77;772;77495;1041;11;4;34;924;67;1;68
774950102;792;77495;11;77;772;77495;760;4;4;24;602;48;19;67
774950103;635;77495;11;77;772;77495;613;11;0;11;438;37;2;39
774960000;75;77496;11;77;773;77496;60;12;0;3;52;6;0;6
774980000;67;77498;11;77;771;77498;55;9;0;3;44;2;0;2
775000000;234;77500;11;77;774;77500;155;62;4;13;137;15;0;15
775010000;324;77501;11;77;774;77501;271;28;2;23;238;21;2;23
775040000;394;77504;11;77;774;77504;292;94;1;7;257;9;3;12
775050000;123;77505;11;77;771;77505;115;1;0;7;95;14;0;14
775060000;294;77506;11;77;774;77506;245;35;1;13;202;33;1;34
775070000;190;77507;11;77;773;77507;143;32;0;15;115;14;0;14
775080000;686;77508;11;77;772;77508;625;17;3;41;451;142;3;145
775090000;256;77509;11;77;773;77509;206;20;1;29;171;16;0;16
775100000;246;77510;11;77;772;77510;213;11;2;20;151;23;2;25
775110000;224;77511;11;77;771;77511;199;2;4;19;101;83;0;83
775120000;501;77512;11;77;771;77512;400;61;4;36;328;57;1;58
775130000;1405;77513;11;77;771;77513;1297;14;4;90;770;173;7;180
775140101;1133;77514;11;77;775;77514;1018;13;9;93;663;307;4;311
775140102;1220;77514;11;77;775;77514;1120;9;12;79;861;196;2;198
775140103;985;77514;11;77;775;77514;872;3;9;101;713;119;11;130
775140104;1246;77514;11;77;775;77514;1112;23;9;102;730;312;8;320
775140201;2576;77514;11;77;775;77514;2338;13;22;203;1157;657;17;674
775140301;1594;77514;11;77;775;77514;1467;11;8;108;803;133;4;137
775150000;203;77515;11;77;771;77515;196;2;0;5;161;25;2;27
775160000;275;77516;11;77;774;77516;235;29;0;11;204;16;5;21
775170000;544;77517;11;77;775;77517;475;29;3;37;385;38;0;38
775180000;72;77518;11;77;772;77518;67;3;1;1;48;12;0;12
775190000;451;77519;11;77;773;77519;394;31;5;21;254;69;0;69
775200000;390;77520;11;77;774;77520;292;77;1;20;254;24;1;25
775210000;773;77521;11;77;771;77521;584;129;11;49;454;98;4;102
775220000;161;77522;11;77;773;77522;119;29;0;13;99;9;1;10
775230000;116;77523;11;77;773;77523;86;26;0;4;80;4;0;4
775240000;243;77524;11;77;773;77524;157;65;2;19;133;11;0;11
775250000;94;77525;11;77;771;77525;89;2;0;3;65;20;0;20
775260000;68;77526;11;77;771;77526;59;1;0;8;40;16;1;17
775270000;208;77527;11;77;772;77527;169;31;0;8;132;24;0;24
775280000;348;77528;11;77;772;77528;343;1;0;4;300;31;0;31
775290000;527;77529;11;77;771;77529;445;63;2;17;386;42;5;47
