Annee;COM;REG;DEP;ARR;CV;ZE1990;LIBGEO;PMIMP;PTSA;PPEN;PBEN;PAUT
2001;77244;11;77;774;7703;1150;Larchant;;;;;
2001;77245;11;77;773;7720;1151;Laval-en-Brie;;;;;
2001;77246;11;77;773;7729;1152;Léchelle;;;;;
2001;77247;11;77;773;7711;1153;Lescherolles;;;;;
2001;77248;11;77;775;7743;1154;Lesches;;;;;
2001;77249;11;77;772;7702;1135;Lésigny;86,84;74,4;16,39;4,99;4,22
2001;77250;11;77;773;7711;1153;Leudon-en-Brie;;;;;
2001;77251;11;77;772;7741;1148;Lieusaint;76,18;91,9;4,73;2,85;0,53
2001;77252;11;77;772;7702;1148;Limoges-Fourches;;;;;
2001;77253;11;77;772;7702;1148;Lissy;;;;;
2001;77254;11;77;772;7728;1135;Liverdy-en-Brie;;;;;
2001;77255;11;77;772;7719;1148;Livry-sur-Seine;;;;;
2001;77256;11;77;773;7710;1152;Lizines;;;;;
2001;77257;11;77;771;7715;1155;Lizy-sur-Ourcq;57,35;76,28;17,93;3,99;1,79
2001;77258;11;77;775;7739;1136;Lognes;69,35;91,48;3,94;3,67;0,9
2001;77259;11;77;771;7709;1156;Longperrier;78,74;85,97;7,74;3,26;3,04
2001;77260;11;77;773;7725;1152;Longueville;;;;;
2001;77261;11;77;774;7716;1150;Lorrez-le-Bocage-Préaux;;;;;
2001;77262;11;77;773;7729;1152;Louan-Villegruis-Fontaine;;;;;
2001;77263;11;77;773;7710;1152;Luisetaines;;;;;
2001;77264;11;77;772;7727;1135;Lumigny-Nesles-Ormeaux;;;;;
2001;77265;11;77;771;7712;1155;Luzancy;;;;;
2001;77266;11;77;772;7705;1148;Machault;;;;;
2001;77267;11;77;774;7704;1150;Madeleine-sur-Loing (La);;;;;
2001;77268;11;77;775;7743;1154;Magny-le-Hongre;;;;;
2001;77269;11;77;772;7718;1148;Maincy;;;;;
2001;77270;11;77;771;7707;1155;Maisoncelles-en-Brie;;;;;
2001;77271;11;77;774;7704;1150;Maisoncelles-en-Gâtinais;;;;;
2001;77272;11;77;773;7723;1148;Maison-Rouge;;;;;
2001;77273;11;77;771;7709;1156;Marchémoret;;;;;
2001;77274;11;77;771;7715;1155;Marcilly;;;;;
2001;77275;11;77;773;7729;1152;Marêts (Les);;;;;
2001;77276;11;77;771;7731;1155;Mareuil-lès-Meaux;;;;;
2001;77277;11;77;772;7727;1135;Marles-en-Brie;;;;;
2001;77278;11;77;773;7711;1153;Marolles-en-Brie;;;;;
2001;77279;11;77;773;7720;1151;Marolles-sur-Seine;;;;;
2001;77280;11;77;771;7715;1155;Mary-sur-Marne;;;;;
2001;77281;11;77;771;7707;1153;Mauperthuis;;;;;
2001;77282;11;77;771;7709;1156;Mauregard;;;;;
2001;77283;11;77;771;7715;1155;May-en-Multien;;;;;
2001;77284;11;77;771;7798;1155;Meaux;59,39;75,65;17,11;4,85;2,4
2001;77285;11;77;772;7742;1148;Mée-sur-Seine (Le);66,59;78,85;16,47;3,2;1,49
2001;77286;11;77;773;7710;1148;Meigneux;;;;;
2001;77287;11;77;773;7711;1153;Meilleray;;;;;
2001;77288;11;77;772;7799;1148;Melun;63,2;74,25;18,32;4,95;2,48
2001;77289;11;77;773;7729;1152;Melz-sur-Seine;;;;;
2001;77290;11;77;771;7712;1155;Méry-sur-Marne;;;;;
2001;77291;11;77;771;7709;1156;Mesnil-Amelot (Le);;;;;
2001;77292;11;77;771;7737;1137;Messy;;;;;
